"Server";"NumberOfCores";"PSComputerName";"RunspaceId";"PSShowComputerName"
"WAWSRVSQL001";"4";"WAWSRVSQL001";"45b49321-11ed-44dc-8f38-ed50bd2cde77";"True"
"WAWSRVSQL002";"4";"WAWSRVSQL002";"606573f6-fe79-4e28-a811-b6e0ef02bc6c";"True"
"WAWSRVSQL006";"2";"WAWSRVSQL006";"ead76b7b-2135-461a-a8ea-1ea35684891a";"True"
"WAWSRVSQL007";"2";"WAWSRVSQL007";"d0c6784a-6954-4e52-964f-b48f0c974e7d";"True"
"WAWSRVSQL008";"2";"WAWSRVSQL008";"9e59dade-78f5-4bb1-81e7-cc3ade44d796";"True"
"WAWSRVSQL009";"2";"WAWSRVSQL009";"b2a68556-4f1b-46da-8c79-9f0d0a232e43";"True"
