#TYPE Selected.Security2.FileSystemAccessRule2
"Folder";"Account";"AccessRights";"IsInherited"
"D:\FS\PL\acc\ACC_MWE\GROUP_KHA";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KHA";"WORK\Security - Warsaw - Folder - Group KHA - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KSW";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KSW";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KSW";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KSW";"WORK\Security - Warsaw - Folder - Group KSW - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KSW";"WORK\Security - Warsaw - Folder - Group MMT - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MFK";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MFK";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MFK";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MFK";"WORK\Security - Warsaw - Folder - Group MFK - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC";"WORK\Security - Warsaw - Folder - Group KSW - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC";"WORK\Security - Warsaw - Folder - Group MJC - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MMT";"NT AUTHORITY\SYSTEM";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MMT";"BUILTIN\Administrators";"FullControl";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MMT";"WORK\Security - IT - Poland File Server Administrators";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MMT";"WORK\Security - Warsaw - Folder - Group KSW - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MMT";"WORK\Security - Warsaw - Folder - Group MMT - RW";"ReadAndExecute, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE\CLIENTS Active";"WORK\Security - Warsaw - Folder - Group EZE - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_EZE\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group EZE - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KHA\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group KHA - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_KSW\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group KSW - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MFK\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MFK - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC\CLIENTS Active";"WORK\Security - Warsaw - Folder - Group MJC - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MJC\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MJC - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\ACC_MWE\GROUP_MMT\DOCUMENTS";"WORK\Security - Warsaw - Folder - Group MMT - RW";"Modify, Synchronize";"False"
"D:\FS\PL\acc\MLE_BSS\YOOZ";"TRINITYCS\dpo";"Modify, Synchronize";"False"
